customer_id,churned,recency_days,frequency,monetary,avg_order_value,n_categories,customer_lifetime_days,purchase_rate,r_score,f_score,m_score,rfm_segment,region,acquisition_channel,age_band
C00001,0,37,5,1818.11,363.62,2,263,0.568,4,4,5,Champions,South East,Social Media,18-24
C00002,1,1200,1,79.69,79.69,1,0,30.0,1,1,1,Hibernating,London,Email,55+
C00003,1,97,2,1057.14,528.57,1,461,0.13,3,2,5,Lost,South East,Paid Search,25-34
C00004,1,134,2,620.67,310.34,2,238,0.251,3,2,3,Lost,London,Referral,35-44
C00005,1,150,2,442.62,221.31,2,8,6.667,3,2,3,Lost,London,Email,55+
C00006,1,570,3,548.47,182.82,3,244,0.367,1,3,3,At Risk,North West,Organic Search,35-44
C00007,1,296,2,117.38,58.69,2,565,0.106,2,2,1,Hibernating,London,Paid Search,25-34
C00008,0,53,1,91.01,91.01,1,0,30.0,4,1,1,Recent Customers,South East,Referral,55+
C00009,1,397,3,278.03,92.68,1,208,0.431,1,3,2,At Risk,North West,Email,45-54
C00010,1,1101,1,406.99,406.99,1,0,30.0,1,1,3,Hibernating,Midlands,Referral,25-34
C00011,1,397,5,771.5,154.3,1,706,0.212,1,4,4,Cannot Lose Them,North West,Paid Search,25-34
C00012,1,127,5,781.12,156.22,3,761,0.197,3,4,4,Loyal Customers,North East,Organic Search,45-54
C00013,1,163,4,298.25,74.56,2,240,0.498,3,4,2,Loyal Customers,London,Paid Search,35-44
C00014,0,88,3,236.53,78.84,1,325,0.276,3,3,2,Loyal Customers,Wales,Social Media,25-34
C00015,0,4,2,548.48,274.24,2,367,0.163,5,2,3,Recent Customers,North West,Organic Search,35-44
C00016,1,328,2,137.74,68.87,2,218,0.274,2,2,1,Hibernating,South West,Organic Search,25-34
C00017,1,267,4,826.21,206.55,3,623,0.192,2,4,4,Cannot Lose Them,South East,Organic Search,35-44
C00020,1,263,2,380.63,190.32,2,263,0.227,2,2,2,Hibernating,North West,Organic Search,55+
C00021,0,10,8,2026.84,253.36,2,36,6.486,5,5,5,Champions,Midlands,Paid Search,25-34
C00022,0,16,3,853.04,284.35,2,8,10.0,5,3,4,Loyal Customers,London,Referral,25-34
C00023,1,276,3,812.51,270.84,2,166,0.539,2,3,4,At Risk,Scotland,Organic Search,55+
C00024,1,153,4,818.94,204.74,3,919,0.13,3,4,4,Loyal Customers,North East,Organic Search,35-44
C00025,1,128,3,186.74,62.25,2,222,0.404,3,3,1,Loyal Customers,Scotland,Social Media,35-44
C00026,1,241,1,342.24,342.24,1,0,30.0,2,1,2,Hibernating,South East,Social Media,18-24
