cohort_month,period_number,n_customers,cohort_size,retention_rate
2021-01,0,6,6,100.0
2021-01,2,1,6,16.7
2021-01,4,1,6,16.7
2021-01,7,1,6,16.7
2021-02,0,1,1,100.0
2021-03,0,4,4,100.0
2021-03,3,1,4,25.0
2021-03,7,1,4,25.0
2021-03,9,2,4,50.0
2021-04,0,8,8,100.0
2021-04,1,2,8,25.0
2021-04,6,2,8,25.0
2021-04,7,2,8,25.0
2021-04,9,1,8,12.5
2021-04,11,2,8,25.0
2021-05,0,9,9,100.0
2021-05,6,1,9,11.1
2021-05,7,1,9,11.1
2021-05,9,1,9,11.1
2021-05,10,1,9,11.1
2021-06,0,8,8,100.0
2021-06,2,2,8,25.0
2021-06,3,1,8,12.5
2021-06,4,1,8,12.5
2021-06,6,1,8,12.5
2021-07,0,18,18,100.0
2021-07,1,2,18,11.1
2021-07,2,2,18,11.1
2021-07,3,7,18,38.9
2021-07,4,2,18,11.1
2021-07,5,2,18,11.1
2021-07,6,2,18,11.1
2021-07,11,3,18,16.7
2021-08,0,15,15,100.0
2021-08,1,1,15,6.7
2021-08,3,2,15,13.3
2021-08,4,1,15,6.7
2021-08,5,1,15,6.7
2021-08,6,2,15,13.3
2021-08,7,1,15,6.7
2021-08,8,2,15,13.3
2021-08,9,2,15,13.3
2021-08,10,1,15,6.7
2021-08,11,2,15,13.3
2021-09,0,14,14,100.0
2021-09,1,2,14,14.3
2021-09,2,1,14,7.1
2021-09,3,3,14,21.4
2021-09,4,1,14,7.1
2021-09,6,1,14,7.1
2021-09,8,1,14,7.1
2021-09,9,2,14,14.3
2021-10,0,19,19,100.0
2021-10,2,2,19,10.5
2021-10,3,2,19,10.5
2021-10,4,4,19,21.1
2021-10,5,1,19,5.3
2021-10,6,3,19,15.8
2021-10,7,1,19,5.3
2021-10,9,1,19,5.3
2021-10,10,1,19,5.3
2021-10,11,1,19,5.3
2021-11,0,19,19,100.0
2021-11,1,4,19,21.1
2021-11,2,1,19,5.3
2021-11,3,1,19,5.3
2021-11,5,2,19,10.5
2021-11,6,2,19,10.5
2021-11,7,2,19,10.5
2021-11,9,2,19,10.5
2021-11,10,1,19,5.3
2021-11,11,1,19,5.3
2021-12,0,27,27,100.0
2021-12,1,1,27,3.7
2021-12,2,3,27,11.1
2021-12,3,4,27,14.8
2021-12,4,2,27,7.4
2021-12,5,1,27,3.7
2021-12,6,3,27,11.1
