customer_id,registration_date,region,acquisition_channel,preferred_device,preferred_category,segment,base_purchase_prob,age_band
C00001,2024-02-01,South East,Social Media,Desktop,Electronics,New,0.38,18-24
C00002,2021-03-29,London,Email,Mobile,Beauty,At Risk,0.28,55+
C00003,2022-01-21,South East,Paid Search,Mobile,Electronics,Loyal,0.55,25-34
C00004,2023-12-19,London,Referral,Mobile,Clothing,At Risk,0.28,35-44
C00005,2024-06-21,London,Email,Mobile,Clothing,Hibernating,0.12,55+
C00006,2021-11-12,North West,Organic Search,Mobile,Clothing,Hibernating,0.12,35-44
C00007,2022-05-24,London,Paid Search,Mobile,Beauty,New,0.38,25-34
C00008,2022-07-20,South East,Referral,Desktop,Books,Hibernating,0.12,55+
C00009,2021-09-27,North West,Email,Mobile,Toys,New,0.38,45-54
C00010,2021-12-04,Midlands,Referral,Desktop,Clothing,Hibernating,0.12,25-34
C00011,2021-03-06,North West,Paid Search,Mobile,Clothing,Champions,0.72,25-34
C00012,2022-01-27,North East,Organic Search,Mobile,Clothing,New,0.38,45-54
C00013,2023-02-19,London,Paid Search,Mobile,Beauty,At Risk,0.28,35-44
C00014,2023-08-19,Wales,Social Media,Desktop,Clothing,At Risk,0.28,25-34
C00015,2023-03-06,North West,Organic Search,Mobile,Clothing,Hibernating,0.12,35-44
C00016,2022-07-18,South West,Organic Search,Desktop,Home & Garden,Hibernating,0.12,25-34
C00017,2022-06-09,South East,Organic Search,Tablet,Sports,Champions,0.72,35-44
C00018,2022-10-08,South East,Paid Search,Desktop,Electronics,At Risk,0.28,18-24
C00019,2024-06-08,South East,Email,Mobile,Electronics,Lost,0.05,25-34
C00020,2022-12-11,North West,Organic Search,Mobile,Electronics,Hibernating,0.12,55+
C00021,2024-10-29,Midlands,Paid Search,Mobile,Clothing,Loyal,0.55,25-34
C00022,2024-11-10,London,Referral,Mobile,Toys,New,0.38,25-34
C00023,2023-05-05,Scotland,Organic Search,Mobile,Electronics,Loyal,0.55,55+
C00024,2021-09-04,North East,Organic Search,Desktop,Electronics,New,0.38,35-44
C00025,2021-07-17,Scotland,Social Media,Mobile,Home & Garden,At Risk,0.28,35-44
