year,month,period,sessions,pdp_views,cart_adds,checkouts_started,purchases,cart_abandonment_rate,checkout_abandonment_rate,overall_conversion_rate,cart_to_purchase_rate
2021,1,2021-01,99062,57955,13670,7384,5147,46.0,30.3,5.2,37.7
2021,2,2021-02,94787,63776,17923,10175,7330,43.2,28.0,7.73,40.9
2021,3,2021-03,104640,66982,16660,9039,6691,45.7,26.0,6.39,40.2
2021,4,2021-04,109434,63626,14110,7724,5648,45.3,26.9,5.16,40.0
2021,5,2021-05,112670,65619,15607,8266,6405,47.0,22.5,5.68,41.0
2021,6,2021-06,114657,66670,18190,9881,7279,45.7,26.3,6.35,40.0
2021,7,2021-07,108481,73593,21902,12825,9627,41.4,24.9,8.87,44.0
2021,8,2021-08,107359,72598,18432,10026,6933,45.6,30.8,6.46,37.6
2021,9,2021-09,110166,70200,16820,9846,7071,41.5,28.2,6.42,42.0
2021,10,2021-10,129899,82595,22284,12827,9858,42.4,23.1,7.59,44.2
2021,11,2021-11,156341,91730,25330,15116,10934,40.3,27.7,6.99,43.2
2021,12,2021-12,183802,111713,26671,16301,11565,38.9,29.1,6.29,43.4
2022,1,2022-01,111513,73454,16288,8524,6080,47.7,28.7,5.45,37.3
2022,2,2022-02,106475,64532,14204,7795,5370,45.1,31.1,5.04,37.8
2022,3,2022-03,115617,70910,16326,9642,6803,40.9,29.4,5.88,41.7
2022,4,2022-04,125241,80142,23388,12367,8674,47.1,29.9,6.93,37.1
2022,5,2022-05,131410,87021,20481,10870,8322,46.9,23.4,6.33,40.6
2022,6,2022-06,127011,84730,25155,13636,10418,45.8,23.6,8.2,41.4
2022,7,2022-07,124230,81852,20675,10896,8185,47.3,24.9,6.59,39.6
2022,8,2022-08,117579,79095,20044,10587,7441,47.2,29.7,6.33,37.1
2022,9,2022-09,129999,79573,22957,12333,8963,46.3,27.3,6.89,39.0
2022,10,2022-10,145390,85029,20776,12693,9388,38.9,26.0,6.46,45.2
2022,11,2022-11,184578,122599,32107,19409,14437,39.5,25.6,7.82,45.0
2022,12,2022-12,211413,125851,37141,22270,15709,40.0,29.5,7.43,42.3
2023,1,2023-01,122796,75844,20692,12816,8773,38.1,31.5,7.14,42.4
2023,2,2023-02,120265,70624,18140,10307,7285,43.2,29.3,6.06,40.2
2023,3,2023-03,131642,87330,21266,11208,8330,47.3,25.7,6.33,39.2
2023,4,2023-04,139653,94328,21955,13395,9754,39.0,27.2,6.98,44.4
2023,5,2023-05,138371,93576,22371,13273,10067,40.7,24.2,7.28,45.0
2023,6,2023-06,143533,93152,24759,13350,10092,46.1,24.4,7.03,40.8
2023,7,2023-07,143122,90004,26960,15172,11044,43.7,27.2,7.72,41.0
2023,8,2023-08,135783,81276,23745,14250,10933,40.0,23.3,8.05,46.0
2023,9,2023-09,141097,94305,25877,14779,11426,42.9,22.7,8.1,44.2
2023,10,2023-10,155486,97965,22881,14066,9875,38.5,29.8,6.35,43.2
2023,11,2023-11,196081,115711,29653,16230,12238,45.3,24.6,6.24,41.3
2023,12,2023-12,227088,148078,34898,18949,14412,45.7,23.9,6.35,41.3
2024,1,2024-01,132443,78297,23247,12500,8687,46.2,30.5,6.56,37.4
2024,2,2024-02,125853,74198,17247,10428,7269,39.5,30.3,5.78,42.1
2024,3,2024-03,139151,92952,23749,12722,9390,46.4,26.2,6.75,39.5
2024,4,2024-04,144636,90070,24068,14818,10559,38.4,28.7,7.3,43.9
2024,5,2024-05,158327,93930,23922,12973,9460,45.8,27.1,5.97,39.5
2024,6,2024-06,157255,106615,31280,18086,12617,42.2,30.2,8.02,40.3
2024,7,2024-07,152467,100507,22417,12629,8641,43.7,31.6,5.67,38.5
2024,8,2024-08,143871,84770,25163,13509,9388,46.3,30.5,6.53,37.3
2024,9,2024-09,159201,100550,28218,15596,11436,44.7,26.7,7.18,40.5
2024,10,2024-10,164599,102196,27021,15440,11125,42.9,27.9,6.76,41.2
2024,11,2024-11,225394,142035,38475,20717,15872,46.2,23.4,7.04,41.3
2024,12,2024-12,250184,157168,39005,23761,18297,39.1,23.0,7.31,46.9
