year,month,revenue,orders,unique_customers,avg_order_value,repeat_orders,period,repeat_rate_pct,overall_conversion_rate,cart_abandonment_rate,sessions
2021,1,1164.47,6,6,194.08,0,2021-01,0.0,5.2,46.0,99062
2021,2,131.83,1,1,131.83,0,2021-02,0.0,7.73,43.2,94787
2021,3,1511.42,5,5,302.28,1,2021-03,20.0,6.39,45.7,104640
2021,4,1705.01,9,8,189.45,1,2021-04,11.1,5.16,45.3,109434
2021,5,1845.82,14,12,131.84,5,2021-05,35.7,5.68,47.0,112670
2021,6,1468.73,9,9,163.19,1,2021-06,11.1,6.35,45.7,114657
2021,7,3841.11,19,18,202.16,1,2021-07,5.3,8.87,41.4,108481
2021,8,4578.36,21,20,218.02,6,2021-08,28.6,6.46,45.6,107359
2021,9,3378.73,18,18,187.71,4,2021-09,22.2,6.42,41.5,110166
2021,10,5053.68,34,32,148.64,15,2021-10,44.1,7.59,42.4,129899
2021,11,7779.73,28,27,277.85,9,2021-11,32.1,6.99,40.3,156341
2021,12,13772.92,44,43,313.02,17,2021-12,38.6,6.29,38.9,183802
2022,1,6636.75,39,37,170.17,12,2022-01,30.8,5.45,47.7,111513
2022,2,4729.93,34,33,139.12,14,2022-02,41.2,5.04,45.1,106475
2022,3,9399.57,61,59,154.09,22,2022-03,36.1,5.88,40.9,115617
2022,4,7802.45,45,41,173.39,22,2022-04,48.9,6.93,47.1,125241
2022,5,6607.05,39,37,169.41,16,2022-05,41.0,6.33,46.9,131410
2022,6,12143.82,65,64,186.83,31,2022-06,47.7,8.2,45.8,127011
2022,7,7374.67,45,42,163.88,18,2022-07,40.0,6.59,47.3,124230
2022,8,9821.72,70,67,140.31,34,2022-08,48.6,6.33,47.2,117579
2022,9,7901.42,49,47,161.25,22,2022-09,44.9,6.89,46.3,129999
2022,10,9894.37,58,56,170.59,34,2022-10,58.6,6.46,38.9,145390
2022,11,19954.93,78,76,255.83,40,2022-11,51.3,7.82,39.5,184578
2022,12,22143.71,86,81,257.48,44,2022-12,51.2,7.43,40.0,211413
2023,1,11376.99,75,73,151.69,43,2023-01,57.3,7.14,38.1,122796
2023,2,12584.41,77,72,163.43,45,2023-02,58.4,6.06,43.2,120265
2023,3,13342.32,89,85,149.91,55,2023-03,61.8,6.33,47.3,131642
2023,4,17081.36,111,106,153.89,69,2023-04,62.2,6.98,39.0,139653
2023,5,18774.52,103,99,182.28,59,2023-05,57.3,7.28,40.7,138371
2023,6,24033.33,115,105,208.99,74,2023-06,64.3,7.03,46.1,143533
2023,7,21632.54,130,122,166.4,86,2023-07,66.2,7.72,43.7,143122
2023,8,20330.29,125,119,162.64,87,2023-08,69.6,8.05,40.0,135783
2023,9,25539.15,138,130,185.07,98,2023-09,71.0,8.1,42.9,141097
2023,10,31919.89,161,144,198.26,111,2023-10,68.9,6.35,38.5,155486
2023,11,31082.17,139,121,223.61,99,2023-11,71.2,6.24,45.3,196081
2023,12,45304.73,163,152,277.94,105,2023-12,64.4,6.35,45.7,227088
2024,1,23018.42,173,160,133.05,126,2024-01,72.8,6.56,46.2,132443
2024,2,25102.31,175,160,143.44,128,2024-02,73.1,5.78,39.5,125853
2024,3,29756.5,170,160,175.04,125,2024-03,73.5,6.75,46.4,139151
2024,4,36573.86,199,183,183.79,147,2024-04,73.9,7.3,38.4,144636
2024,5,40492.05,244,216,165.95,191,2024-05,78.3,5.97,45.8,158327
2024,6,41718.48,221,196,188.77,158,2024-06,71.5,8.02,42.2,157255
2024,7,49281.0,271,236,181.85,218,2024-07,80.4,5.67,43.7,152467
2024,8,47506.17,299,250,158.88,237,2024-08,79.3,6.53,46.3,143871
2024,9,51025.58,284,235,179.67,233,2024-09,82.0,7.18,44.7,159201
2024,10,67495.1,381,316,177.15,317,2024-10,83.2,6.76,42.9,164599
2024,11,106185.27,406,313,261.54,336,2024-11,82.8,7.04,46.2,225394
2024,12,121958.78,440,319,277.18,390,2024-12,88.6,7.31,39.1,250184
