order_id,customer_id,order_date,year,month,quarter,category,quantity,unit_price,discount_pct,revenue,channel,device,region,is_repeat,order_month,first_order
O0000001,C00001,2024-03-06,2024,3,Q1,Electronics,2,155.91,0.0,311.82,Social Media,Desktop,South East,0,2024-03,2024-03-06
O0000002,C00001,2024-04-13,2024,4,Q2,Clothing,4,81.91,0.06,307.98,Social Media,Desktop,South East,1,2024-04,2024-04-13
O0000003,C00001,2024-07-22,2024,7,Q3,Electronics,2,107.7,0.03,208.95,Social Media,Desktop,South East,1,2024-07,2024-07-22
O0000004,C00001,2024-08-28,2024,8,Q3,Electronics,3,137.92,0.02,405.48,Social Media,Desktop,South East,1,2024-08,2024-08-28
O0000005,C00001,2024-11-24,2024,11,Q4,Electronics,4,145.97,0.0,583.88,Social Media,Desktop,South East,1,2024-11,2024-11-24
O0000006,C00002,2021-09-18,2021,9,Q3,Beauty,3,28.87,0.08,79.69,Email,Mobile,London,0,2021-09,2021-09-18
O0000007,C00003,2023-06-22,2023,6,Q2,Electronics,4,146.11,0.07,543.53,Paid Search,Mobile,South East,0,2023-06,2023-06-22
O0000008,C00003,2024-09-25,2024,9,Q3,Electronics,4,128.4,0.0,513.61,Paid Search,Mobile,South East,1,2024-09,2024-09-25
O0000009,C00004,2023-12-25,2023,12,Q4,Electronics,2,287.13,0.13,499.6,Referral,Mobile,London,0,2023-12,2023-12-25
O0000010,C00004,2024-08-19,2024,8,Q3,Clothing,4,39.31,0.23,121.07,Referral,Mobile,London,1,2024-08,2024-08-19
O0000011,C00005,2024-07-26,2024,7,Q3,Beauty,3,16.94,0.0,50.82,Email,Mobile,London,0,2024-07,2024-07-26
O0000012,C00005,2024-08-03,2024,8,Q3,Clothing,4,100.98,0.03,391.8,Email,Mobile,London,1,2024-08,2024-08-03
O0000013,C00006,2022-10-09,2022,10,Q4,Electronics,1,139.2,0.0,139.2,Organic Search,Mobile,North West,0,2022-10,2022-10-09
O0000014,C00006,2023-04-26,2023,4,Q2,Clothing,1,75.62,0.01,74.87,Organic Search,Mobile,North West,1,2023-04,2023-04-26
O0000015,C00006,2023-06-10,2023,6,Q2,Home & Garden,4,83.6,0.0,334.4,Organic Search,Mobile,North West,1,2023-06,2023-06-10
O0000016,C00007,2022-08-23,2022,8,Q3,Clothing,1,67.03,0.04,64.35,Paid Search,Mobile,London,0,2022-08,2022-08-23
O0000017,C00007,2024-03-10,2024,3,Q1,Beauty,2,29.13,0.09,53.03,Paid Search,Mobile,London,1,2024-03,2024-03-10
O0000018,C00008,2024-11-08,2024,11,Q4,Books,3,30.34,0.0,91.01,Referral,Desktop,South East,0,2024-11,2024-11-08
O0000019,C00009,2023-05-06,2023,5,Q2,Toys,3,25.22,0.0,75.67,Email,Mobile,North West,0,2023-05,2023-05-06
O0000020,C00009,2023-07-14,2023,7,Q3,Toys,4,42.34,0.03,164.28,Email,Mobile,North West,1,2023-07,2023-07-14
O0000021,C00009,2023-11-30,2023,11,Q4,Toys,1,38.08,0.0,38.08,Email,Mobile,North West,1,2023-11,2023-11-30
O0000022,C00010,2021-12-26,2021,12,Q4,Sports,4,101.75,0.0,406.99,Referral,Desktop,Midlands,0,2021-12,2021-12-26
O0000023,C00011,2021-12-24,2021,12,Q4,Clothing,3,88.91,0.0,266.72,Paid Search,Mobile,North West,0,2021-12,2021-12-24
O0000024,C00011,2022-04-01,2022,4,Q2,Clothing,2,56.91,0.11,101.31,Paid Search,Mobile,North West,1,2022-04,2022-04-01
O0000025,C00011,2022-12-06,2022,12,Q4,Clothing,1,90.01,0.0,90.01,Paid Search,Mobile,North West,1,2022-12,2022-12-06
O0000026,C00011,2023-07-14,2023,7,Q3,Clothing,1,71.27,0.11,63.43,Paid Search,Mobile,North West,1,2023-07,2023-07-14
O0000027,C00011,2023-11-30,2023,11,Q4,Clothing,3,83.34,0.0,250.03,Paid Search,Mobile,North West,1,2023-11,2023-11-30
O0000028,C00012,2022-07-27,2022,7,Q3,Clothing,3,47.91,0.0,143.73,Organic Search,Mobile,North East,0,2022-07,2022-07-27
O0000029,C00012,2022-10-18,2022,10,Q4,Sports,2,52.47,0.17,87.1,Organic Search,Mobile,North East,1,2022-10,2022-10-18
O0000030,C00012,2023-11-05,2023,11,Q4,Clothing,2,113.48,0.0,226.95,Organic Search,Mobile,North East,1,2023-11,2023-11-05
O0000031,C00012,2024-03-07,2024,3,Q1,Clothing,2,77.58,0.12,136.54,Organic Search,Mobile,North East,1,2024-03,2024-03-07
O0000032,C00012,2024-08-26,2024,8,Q3,Toys,4,46.7,0.0,186.8,Organic Search,Mobile,North East,1,2024-08,2024-08-26
O0000033,C00013,2023-11-24,2023,11,Q4,Beauty,2,69.32,0.0,138.63,Paid Search,Mobile,London,0,2023-11,2023-11-24
