customer_id,recency_days,frequency,monetary,first_order,last_order,avg_order_value,n_categories,r_score,f_score,m_score,rfm_segment,customer_lifetime_days,region,acquisition_channel,age_band
C00001,37,5,1818.11,2024-03-06,2024-11-24,363.62,2,4,4,5,Champions,263,South East,Social Media,18-24
C00002,1200,1,79.69,2021-09-18,2021-09-18,79.69,1,1,1,1,Hibernating,0,London,Email,55+
C00003,97,2,1057.14,2023-06-22,2024-09-25,528.57,1,3,2,5,Lost,461,South East,Paid Search,25-34
C00004,134,2,620.67,2023-12-25,2024-08-19,310.34,2,3,2,3,Lost,238,London,Referral,35-44
C00005,150,2,442.62,2024-07-26,2024-08-03,221.31,2,3,2,3,Lost,8,London,Email,55+
C00006,570,3,548.47,2022-10-09,2023-06-10,182.82,3,1,3,3,At Risk,244,North West,Organic Search,35-44
C00007,296,2,117.38,2022-08-23,2024-03-10,58.69,2,2,2,1,Hibernating,565,London,Paid Search,25-34
C00008,53,1,91.01,2024-11-08,2024-11-08,91.01,1,4,1,1,Recent Customers,0,South East,Referral,55+
C00009,397,3,278.03,2023-05-06,2023-11-30,92.68,1,1,3,2,At Risk,208,North West,Email,45-54
C00010,1101,1,406.99,2021-12-26,2021-12-26,406.99,1,1,1,3,Hibernating,0,Midlands,Referral,25-34
C00011,397,5,771.5,2021-12-24,2023-11-30,154.3,1,1,4,4,Cannot Lose Them,706,North West,Paid Search,25-34
C00012,127,5,781.12,2022-07-27,2024-08-26,156.22,3,3,4,4,Loyal Customers,761,North East,Organic Search,45-54
C00013,163,4,298.25,2023-11-24,2024-07-21,74.56,2,3,4,2,Loyal Customers,240,London,Paid Search,35-44
C00014,88,3,236.53,2023-11-14,2024-10-04,78.84,1,3,3,2,Loyal Customers,325,Wales,Social Media,25-34
C00015,4,2,548.48,2023-12-26,2024-12-27,274.24,2,5,2,3,Recent Customers,367,North West,Organic Search,35-44
C00016,328,2,137.74,2023-07-04,2024-02-07,68.87,2,2,2,1,Hibernating,218,South West,Organic Search,25-34
C00017,267,4,826.21,2022-07-25,2024-04-08,206.55,3,2,4,4,Cannot Lose Them,623,South East,Organic Search,35-44
C00020,263,2,380.63,2023-07-24,2024-04-12,190.32,2,2,2,2,Hibernating,263,North West,Organic Search,55+
C00021,10,8,2026.84,2024-11-15,2024-12-21,253.36,2,5,5,5,Champions,36,Midlands,Paid Search,25-34
C00022,16,3,853.04,2024-12-07,2024-12-15,284.35,2,5,3,4,Loyal Customers,8,London,Referral,25-34
C00023,276,3,812.51,2023-10-16,2024-03-30,270.84,2,2,3,4,At Risk,166,Scotland,Organic Search,55+
C00024,153,4,818.94,2022-01-24,2024-07-31,204.74,3,3,4,4,Loyal Customers,919,North East,Organic Search,35-44
C00025,128,3,186.74,2024-01-16,2024-08-25,62.25,2,3,3,1,Loyal Customers,222,Scotland,Social Media,35-44
C00026,241,1,342.24,2024-05-04,2024-05-04,342.24,1,2,1,2,Hibernating,0,South East,Social Media,18-24
C00027,348,2,444.67,2023-06-25,2024-01-18,222.34,2,2,2,3,Hibernating,207,North West,Direct,18-24
C00029,10,5,948.74,2023-08-20,2024-12-21,189.75,2,5,4,4,Champions,489,London,Direct,25-34
